NAME;X;Y;Z;
NAN1;-8.268213679155965;10.539274632289633;173.0838182845511;
NAN1;-8.264163796647717;10.541506221794368;173.72086750307034;
NAN1;-7.891366320844033;10.060725367710369;173.72018171544886;
NAN1;-7.895416203352281;10.058493778205634;173.08313249692964;
NAN2;-8.639717723352572;9.28782334999674;173.03919684499192;
NAN2;-8.360073766058743;9.033919917061345;173.54545528063687;
NAN2;-7.870722276647427;8.85377665000326;173.18480315500807;
NAN2;-8.150366233941256;9.107680082938655;172.67854471936312;
NAN3;-8.023871380854684;9.030216066342607;172.73112115596336;
NAN3;-8.578395592790363;9.28714778067495;172.8906651696911;
NAN3;-8.486568619145315;9.111383933657393;173.49287884403662;
NAN3;-7.932044407209638;8.85445221932505;173.3333348303089;
NAN4;-8.41540784335762;9.236106752941911;172.7282664135647;
NAN4;-8.620336072930858;9.217004159288209;173.32543038720064;
NAN4;-8.095032156642379;8.90549324705809;173.49573358643528;
NAN4;-7.890103927069142;8.924595840711792;172.89856961279935;
NAN5;-8.068838752525558;9.059254759166874;172.705346989326;
NAN5;-8.606356716530708;9.290725459293492;172.94296233631277;
NAN5;-8.441601247474441;9.082345240833126;173.518653010674;
NAN5;-7.904083283469291;8.850874540706508;173.28103766368721;
NAN6;-8.555684534821559;9.160696296705918;173.43118278813128;
NAN6;-7.995104367426265;8.870046005468403;173.41576903143115;
NAN6;-7.95475546517844;8.980903703294082;172.7928172118687;
NAN6;-8.515335632573734;9.271553994531597;172.80823096856884;
NAN7;-8.612638368678791;9.209264869816069;173.3429058739921;
NAN7;-8.081118447659442;8.900011429445923;173.4871770871561;
NAN7;-7.897801631321209;8.932335130183931;172.8810941260079;
NAN7;-8.429321552340557;9.241588570554077;172.73682291284388;
NAN8;-8.630733068443872;9.228382641792772;173.2974604527109;
NAN8;-8.124270949463012;8.917486239018901;173.5114811258915;
NAN8;-7.879706931556127;8.913217358207229;172.92653954728908;
NAN8;-8.386169050536987;9.2241137609811;172.7125188741085;
NAN9;-7.94646467781385;8.974448037614199;172.80276807497867;
NAN9;-8.505451857601834;9.268517576480793;172.79810557431207;
NAN9;-8.563975322186149;9.167151962385802;173.42123192502132;
NAN9;-8.004988142398165;8.873082423519207;173.42589442568791;
