NAME;X;Y;Z;
PLANE16;526823.5060149999;6484970.47589;173.782;
PLANE16;526817.842985;6484970.47589;173.782;
PLANE17;526815.10239;6484964.24868;171.984;
PLANE17;526817.7576100001;6484964.24868;171.984;
PLANE17;526817.7576100001;6484970.8693200005;171.984;
PLANE17;526815.10239;6484970.8693200005;171.984;
PLANE18;526821.9850399999;6484965.772515001;171.349;
PLANE18;526824.57736;6484965.772515001;171.349;
PLANE18;526824.57736;6484971.273085;171.349;
PLANE18;526821.9850399999;6484971.273085;171.349;
PLANE19;526824.6751550001;6484963.464545;171.027;
PLANE19;526827.568245;6484963.464545;171.027;
PLANE19;526827.568245;6484968.352454999;171.027;
PLANE19;526824.6751550001;6484968.352454999;171.027;
PLANE20;526829.742125;6484977.424615;172.514;
PLANE20;526832.225675;6484977.424615;172.514;
PLANE20;526832.225675;6484979.874585;172.514;
PLANE20;526829.742125;6484979.874585;172.514;
PLANE21;526829.74139;6484976.4841950005;172.266;
PLANE21;526832.2476100001;6484976.4841950005;172.266;
PLANE21;526832.2476100001;6484978.806005;172.266;
PLANE21;526829.74139;6484978.806005;172.266;
PLANE22;526817.5708199999;6484975.750605;173.056;
PLANE22;526821.77478;6484975.750605;173.056;
PLANE22;526821.77478;6484979.784595;173.056;
PLANE22;526817.5708199999;6484979.784595;173.056;
PLANE23;526855.1791249999;6484948.5494866;170.793;
PLANE23;526858.101595;6484948.5494866;170.793;
PLANE23;526858.101595;6484951.4044166;170.793;
PLANE23;526855.1791249999;6484951.4044166;170.793;
PLANE24;526858.85353;6484946.826955;170.147;
PLANE24;526861.0121899999;6484946.826955;170.147;
PLANE24;526861.0121899999;6484948.8947250005;170.147;
PLANE24;526858.85353;6484948.8947250005;170.147;
PLANE25;526858.60922;6484950.02547;169.523;
PLANE25;526861.20242;6484950.02547;169.523;
PLANE25;526861.20242;6484952.58217;169.523;
PLANE25;526858.60922;6484952.58217;169.523;
PLANE26;526832.7090149999;6484957.584805;171.898;
PLANE26;526835.676185;6484957.584805;171.898;
PLANE26;526835.676185;6484960.518815001;171.898;
PLANE26;526832.7090149999;6484960.518815001;171.898;
PLANE27;526836.78136;6484957.179415;172.823;
PLANE27;526840.3164400001;6484957.179415;172.823;
PLANE27;526840.3164400001;6484959.669685;172.823;
PLANE27;526836.78136;6484959.669685;172.823;
PLANE28;526818.398265;6484969.031735;172.635;
PLANE28;526821.618335;6484969.031735;172.635;
PLANE28;526821.618335;6484972.160265;172.635;
PLANE28;526818.398265;6484972.160265;172.635;
PLANE29;526829.126765;6484968.621615;170.272;
PLANE29;526836.194235;6484968.621615;170.272;
PLANE29;526836.194235;6484975.648785001;170.272;
PLANE29;526829.126765;6484975.648785001;170.272;
PLANE30;526830.64422;6484968.752645;170.747;
PLANE30;526837.75038;6484968.752645;170.747;
PLANE30;526837.75038;6484975.819555;170.747;
PLANE30;526830.64422;6484975.819555;170.747;
PLANE31;526840.207285;6484959.797535;172.026;
PLANE31;526844.757955;6484959.797535;172.026;
PLANE31;526844.757955;6484964.341465;172.026;
PLANE31;526840.207285;6484964.341465;172.026;
PLANE32;526839.2002;6484962.440315;172.013;
PLANE32;526843.34744;6484962.440315;172.013;
PLANE32;526843.34744;6484966.871485;172.013;
PLANE32;526839.2002;6484966.871485;172.013;
PLANE33;526836.06704;6484962.55434;170.736;
PLANE33;526839.56976;6484962.55434;170.736;
PLANE33;526839.56976;6484966.1080599995;170.736;
PLANE33;526836.06704;6484966.1080599995;170.736;
PLANE34;526811.16577;6484980.1718999995;172.691;
PLANE34;526815.1852300001;6484980.1718999995;172.691;
PLANE34;526815.1852300001;6484984.2077;172.691;
PLANE34;526811.16577;6484984.2077;172.691;
PLANE35;526801.93307;6484964.79397;170.738;
PLANE35;526806.79433;6484964.79397;170.738;
PLANE35;526806.79433;6484969.60603;170.738;
PLANE35;526801.93307;6484969.60603;170.738;
gco
